IdSkill,id,Skill,Nombre,TipoSkill
call center,1898linkdin,call center,Call Center,HardSkill
call center,1901linkdin,call center,Call Center,HardSkill
call center,1904linkdin,call center,Call Center,HardSkill
call center,1922linkdin,call center,Call Center,HardSkill
call center,1989linkdin,call center,Call Center,HardSkill
call center,2016linkdin,call center,Call Center,HardSkill
call center,2119linkdin,call center,Call Center,HardSkill
call center,2150linkdin,call center,Call Center,HardSkill
call center,2162linkdin,call center,Call Center,HardSkill
call center,2396linkdin,call center,Call Center,HardSkill
call center,2412linkdin,call center,Call Center,HardSkill
call center,2514linkdin,call center,Call Center,HardSkill
call center,2516linkdin,call center,Call Center,HardSkill
call center,2751linkdin,call center,Call Center,HardSkill
call center,2785linkdin,call center,Call Center,HardSkill
call center,2799linkdin,call center,Call Center,HardSkill
call center,3174linkdin,call center,Call Center,HardSkill
call center,3188linkdin,call center,Call Center,HardSkill
call center,3371linkdin,call center,Call Center,HardSkill
call center,3500linkdin,call center,Call Center,HardSkill
call center,3677linkdin,call center,Call Center,HardSkill
call center,3678linkdin,call center,Call Center,HardSkill
call center,3768linkdin,call center,Call Center,HardSkill
calidad,8AF5D0A8C70DE39F61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,B9C2AEE822A2499861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,5C2C60975C138E3561373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,AE9DD2E09008C94C61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,1F0F9B59449A029A61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,50272C0C9EC8A8F761373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,C845B717DEB8AD8061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,FCD69D0B06E7244661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,2CB718B937AE4BC761373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,3CC96904E40B2A5F61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,38008DE008CDFB0E61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,17C51503D15C5D3761373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,7F8E2D93EF4252DE61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,0183134624E3212661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,2E5B3EA034EFE3D661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,DC6E6002DE2A59D561373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,25EA5C85E294C45D61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,7771562CB7BA50B261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,8FE8BBE69A5E0A3D61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,96C36171EFE7C44F61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,7534C116959008F161373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,4F498D74F8682AC361373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,F2A5E7D6924C65B061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,E0EABB81EBA54DC961373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,B4FCE7AA1171929861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,C9151BCFE28281F661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,34F3831D1A9CD45661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,034542DCFA1BD92861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,24C6EDEEE60392CD61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,16A59FCE3EF81B6961373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,9DB23832B044663661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,141ACD2B2FD5DC7C61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,EB20FF22DCF721DD61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,B2700C5CBCA530D361373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,69F4761DF8EF7D8561373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,DB8F815572DFA01761373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,61B3AC3092E94BF661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,530AA24C0BD3FCA061373E686DCF3405,calidad,Calidad/QA,HardSkill
